aX,aY,aZ,rX,rY,rZ
-0.2,1.31,10.76,-0.67,0.51,0.56
-0.82,1.02,9.94,0.62,0.32,0.58
-2.14,1.14,10.19,0.18,0.7,0.85
-1.87,1.29,9.84,-0.22,0.36,0.18
-1.99,1.02,10.09,-0.29,0.24,0.06
-2.0,1.04,10.01,0.03,-0.16,-0.32
-1.34,1.69,9.49,-0.02,-0.06,-0.11
-1.81,0.82,9.56,0.13,-0.07,-0.16
-1.21,1.16,9.87,0.01,-0.03,-0.17
-1.94,0.78,8.66,0.06,-0.04,-0.35
